"id","division_code","division_name"
"1","W2JKP","JANAK PURI"
"10","S2SKT","SAKET"
"11","S1ALN","ALAKNANDA"
"12","S2RKP","R.K. PURAM"
"13","S1NZD","NIZAMUDDIN"
"14","S1KHP","KHANPUR"
"15","S1SVR","SARITA VIHAR"
"16","S2VKJ","VASANT KUNJ"
"17","S1NHP","NEHRU PLACE"
"18","W1NGL","NANGLOI"
"19","S2HKS","HAUZ KHAS"
"2","W2PLM","PALAM"
"20","W2MGN","MOHAN GARDEN"
"21","S1NFC","New Friends Colony"
"22","W1JFR","JAFFARPUR"
"23","S2CHP","Chhatarpur"
"3","W2VKP","VIKAS PURI"
"4","W2DWK","DWARKA"
"5","W2UTN","UTTAM NAGAR"
"6","W1PJB","PUNJABI BAGH"
"7","W1MDK","MUNDKA"
"8","W1NJF","NAJAF GARH"
"9","W2TGN","TAGORE GARDEN"
