"id","example","intent_id"
38,"हिंदी BRPL",4
39,"मुझे हिंदी चाहिए BRPL",4
40,"हिंदी में बात करो BRPL",4
41,"हिंदी में बताओ BRPL",4
42,"क्या आप हिंदी में बोल सकते हैं? BRPL",4
43,"कृपया हिंदी में जवाब दें BRPL",4
44,"हिंदी भाषा चुनें BRPL",4
45,"मैं हिंदी में बात करना चाहता हूँ BRPL",4
46,"हिंदी में जानकारी चाहिए BRPL",4
47,"हिंदी में कंटिन्यू करें BRPL",4
48,"हिंदी भाषा में बदलो BRPL",4
49,"क्या हिंदी में बता सकते हैं? BRPL",4
50,"हिंदी ऑप्शन दो BRPL",4
51,"I want Hindi BRPL",4
52,"Please continue in Hindi BRPL",4
53,"Speak in Hindi BRPL",4
54,"Tell me in Hindi BRPL",4
55,"Can we chat in Hindi? BRPL",4
56,"Answer in Hindi please BRPL",4
57,"हिंदी मेरी पसंदीदा भाषा है BRPL",4
58,"हिंदी चालू करो BRPL",4
59,"बातचीत हिंदी में करो BRPL",4
60,"कृपया मुझे हिंदी में गाइड करें BRPL",4
61,"हिंदी सेलेक्ट करना है BRPL",4
62,"हिंदी भाषा में सेवा दो BRPL",4
63,"मुझे हिंदी समझ आती है BRPL",4
64,"मुझे हिंदी में जानकारी दो BRPL",4
65,"हिंदी में हेल्प करो BRPL",4
66,"हिंदी मोड चालू करें BRPL",4
67,"हिंदी का विकल्प दो BRPL",4
68,"हिंदी में कंटेंट चाहिए BRPL",4
69,"मुझे अंग्रेज़ी नहीं आती, हिंदी में बात करो BRPL",4
70,"हिंदी में ऑप्शन दिखाओ BRPL",4
71,"हिंदी में शुरू करें BRPL",4
72,"मैं हिंदी में ही बात करूंगा BRPL",4
73,"सिर्फ हिंदी में बात करो BRPL",4
74,"मुझे सिर्फ हिंदी चाहिए BRPL",4
75,"हिंदी में कंटिन्यू करना है BRPL",4
76,"हिंदी मोड ऑन करो BRPL",4
77,"क्या आप हिंदी में बता सकते हैं? BRPL",4
78,"हिंदी भाषा में रिप्लाई करें BRPL",4
79,"पूरा संवाद हिंदी में हो BRPL",4
152,"new consumer / नया उपभोक्ता BRPL",7
153,"New consumer / नया उपभोक्ता BRPL",7
154,"new Consumer / नया उपभोक्ता BRPL",7
155,"New Consumer / नया उपभोक्ता BRPL",7
156,"New BRPL",7
158,"नया BRPL",7
159,"New Consumer BRPL",7
160,"new consumer BRPL",7
161,"New consumer BRPL",7
162,"new Consumer BRPL",7
163,"I am a new consumer BRPL",7
164,"Want to register as a new consumer BRPL",7
165,"Apply as a new consumer BRPL",7
166,"Application for new consumer BRPL",7
167,"Request for new consumer BRPL",7
168,"नया उपभोक्ता BRPL",7
169,"मैं नया उपभोक्ता BRPL हूँ",7
170,"नया कनेक्शन चाहिए BRPL",7
171,"नया कनेक्शन BRPL",7
172,"नया उपभोक्ता पंजीकरण BRPL",7
173,"नया उपभोक्ता आवेदन BRPL",7
174,"नया उपभोक्ता बनना है BRPL",7
175,"Registered Consumer / पंजीकृत उपभोक्ता BRPL",8
176,"registered consumer / पंजीकृत उपभोक्ता BRPL",8
177,"Registered consumer / पंजीकृत उपभोक्ता BRPL",8
178,"registered Consumer / पंजीकृत उपभोक्ता BRPL",8
179,"Registered BRPL",8
181,"पंजीकृत BRPL",8
182,"Registered Consumer BRPL",8
183,"registered consumer BRPL",8
184,"Registered consumer BRPL",8
185,"registered Consumer BRPL",8
186,"I am a registered consumer BRPL",8
187,"Already a registered consumer BRPL",8
188,"Existing registered consumer BRPL",8
189,"I am an existing customer BRPL",8
190,"पंजीकृत उपभोक्ता BRPL",8
191,"मैं पंजीकृत उपभोक्ता BRPL हूँ",8
192,"पहले से पंजीकृत उपभोक्ता BRPL",8
193,"पंजीकृत ग्राहक BRPL",8
194,"पहले से कनेक्शन है BRPL",8
195,"पहले से रजिस्टर्ड BRPL",8
196,"पंजीकृत बिजली उपभोक्ता BRPL",8
197,"Existing electricity connection BRPL",8
301,"New Connection Application BRPL",12
302,"new Connection Application BRPL",12
304,"new connection Application BRPL",12
310,"New Application BRPL",12
312,"new application BRPL",12
313,"new Application BRPL",12
314,"Apply for new connection BRPL",12
316,"Request for new connection BRPL",12
317,"I want a new connection application BRPL",12
318,"Need new connection form BRPL",12
319,"Fill new connection application BRPL",12
320,"Submit new connection request BRPL",12
321,"Apply for electricity connection BRPL",12
322,"New connection apply BRPL",12
323,"Electricity new connection application BRPL",12
324,"What do I need for New Connection Application BRPL",12
325,"DO you have New Connection Application BRPL",12
326,"What are the documents needed for a new connection to apply BRPL",12
327,"I am looking for a new connection application BRPL",12
328,"Procedure for New connection Application BRPL",12
329,"new connection application BRPL",12
330,"Which documents I will apply for new connection BRPL",12
332,"Apply new connection with existing for 1flour BRPL",12
333,"How to apply for New connection application BRPL",12
334,"Application for new connection BRPL",12
335,"application BRPL",12
336,"What are the requirements for the new connection BRPL",12
337,"What document required for new connection BRPL",12
338,"Do you provide New Connection Application BRPL",12
339,"Where can I New Connection Application BRPL",12
340,"Why new connection application BRPL",12
