"id","submenu_id","name"
1,NULL,"subsidiary_rajdhani"
3,NULL,"language_english_rajdhani"
4,NULL,"language_hindi_rajdhani"
7,NULL,"new_consumer_english_rajdhani"
8,NULL,"registered_consumer_english_rajdhani"
12,"{{2,20}}","new_connection_application_brpl_english"
14,"{{29,39}}","new_connection_application_brpl_hindi"
16,"{{14,23}}","virtual_customer_care_brpl_english"
18,"{{31,51}}","virtual_customer_care_brpl_hindi"
19,"{{4}}","prepaid_meter_recharge_english_rajdhani"
20,"{{41}}","prepaid_meter_recharge_hindi_rajdhani"
23,NULL,"restart"
24,NULL,"provide_ca_number_rajdhani"
26,"{35}","provide_otp_rajdhani"
28,"{{3,21}}","new_connection_status_english_rajdhani"
30,"{{3,21}}","provide_order_id_rajdhani"
32,NULL,"upload_document_rajdhani"
34,"{{30,40}}","new_connection_status_hindi_rajdhani"
36,NULL,"upload_document_hindi_rajdhani"
38,"{{18,27}}","faqs_brpl_english"
39,"{{33,55}}","faqs_brpl_hindi"
42,"{{17,26}}","change_lang_english_rajdhani"
44,"{{37,54}}","change_lang_hindi_rajdhani"
46,"{{15,24}}","visually_impaired_english_rajdhani"
48,"{{35,52}}","visually_impaired_hindi_rajdhani"
50,"{{15,24}}","provide_mobile_number_rajdhani"
52,"{{1}}","meter_reading_schedule_english_rajdhani"
54,"{{38}}","meter_reading_schedule_hindi_rajdhani"
56,"{{16,25}}","check_for_another_ca_number_english_rajdhani"
58,"{{36,53}}","check_for_another_ca_number_hindi_rajdhani"
60,"{{8}}","payment_history_rajdhani"
62,"{{45}}","payment_history_rajdhani_hindi"
64,"{{7}}","payment_status_rajdhani"
66,"{{44}}","payment_status_rajdhani_hindi"
68,"{{5}}","consumption_history_rajdhani"
70,"{{42}}","consumption_history_rajdhani_hindi"
72,"{{13,22}}","streetlight_complaint_rajdhani"
74,"{{32,50}}","streetlight_complaint_rajdhani_hindi"
76,"{{19,28}}","branches_nearby_rajdhani"
78,"{{34,56}}","branches_nearby_rajdhani_hindi"
80,"{{19,28}}","payment_centres_rajdhani"
82,"{{34,56}}","payment_centres_rajdhani_hindi"
84,"{{19,28}}","complaint_centres_rajdhani"
86,"{{34,56}}","complaint_centres_rajdhani_hindi"
88,"{{19,28}}","lang_long_rajdhani"
90,"{{10}}","opt_for_ebill_rajdhani"
92,"{{47}}","opt_for_ebill_rajdhani_hindi"
94,"{{10}}","opt_for_ebill_email_rajdhani"
96,"{{10}}","opt_for_ebill_yes_rajdhani"
98,"{{10}}","opt_for_ebill_no_rajdhani"
100,"{{10}}","opt_for_ebill_no_update_email_rajdhani"
102,"{{47}}","opt_for_ebill_no_update_email_rajdhani_hindi"
104,"{{47}}","opt_for_ebill_yes_rajdhani_hindi"
106,"{{47}}","opt_for_ebill_no_rajdhani_hindi"
108,"{{12}}","complaint_status_english_rajdhani"
110,"{{49}}","complaint_status_hindi_rajdhani"
112,"{{11}}","register_complaint_english_rajdhani"
114,"{{48}}","register_complaint_hindi_rajdhani"
116,"{{11}}","no_current_complaint_english_rajdhani"
118,"{{48}}","no_current_complaint_hindi_rajdhani"
120,"{{11}}","register_complaint_yes_rajdhani"
122,"{{11}}","register_complaint_no_rajdhani"
124,"{{48}}","register_complaint_yes_hindi_rajdhani"
126,"{{48}}","register_complaint_no_hindi_rajdhani"
128,"{{11}}","fire_complaint_english_rajdhani"
130,"{{48}}","fire_complaint_hindi_rajdhani"
132,"{{11}}","current_leakage_complaint_english_rajdhani"
134,"{{48}}","current_leakage_complaint_hindi_rajdhani"
136,"{{11}}","low_voltage_complaint_english_rajdhani"
138,"{{48}}","low_voltage_complaint_hindi_rajdhani"
140,"{{11}}","voltage_fluctuation_complaint_english_rajdhani"
142,"{{48}}","voltage_fluctuation_complaint_hindi_rajdhani"
144,"{{9}}","bill_history_rajdhani"
146,"{{46}}","bill_history_rajdhani_hindi"
148,"{{6}}","duplicate_bill_rajdhani"
150,"{{43}}","duplicate_bill_rajdhani_hindi"
