"id","permission_name","description","created_at","updated_at","label","module","crud_action"
23,"users-create","Create, update, and delete users","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Users","users","create"
24,"users-read","View users","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Users","users","read"
25,"users-update","Update users","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Users","users","update"
26,"users-delete","Delete users","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Users","users","delete"
27,"roles-create","Create roles","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Roles","roles","create"
28,"roles-read","View roles","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Roles","roles","read"
29,"roles-update","Update roles","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Roles","roles","update"
30,"roles-delete","Delete roles","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Roles","roles","delete"
31,"polls-create","Create and manage polls","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Polls","polls","create"
32,"polls-read","View polls","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Polls","polls","read"
33,"polls-update","Update polls","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Polls","polls","update"
34,"polls-delete","Delete polls","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Polls","polls","delete"
35,"feedbacks-create","Create and manage feedbacks","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Feedbacks","feedbacks","create"
36,"feedbacks-read","View feedbacks","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Feedbacks","feedbacks","read"
37,"feedbacks-update","Update feedbacks","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Feedbacks","feedbacks","update"
38,"feedbacks-delete","Delete feedbacks","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Feedbacks","feedbacks","delete"
39,"menus-create","Create menus","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Menus","menus","create"
40,"menus-read","View menus","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Menus","menus","read"
41,"menus-update","Update menus","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Menus","menus","update"
42,"menus-delete","Delete menus","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Menus","menus","delete"
43,"api-key-create","Create API keys","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","API Key","api-key","create"
44,"api-key-read","View API keys","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","API Key","api-key","read"
45,"api-key-update","Update API keys","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","API Key","api-key","update"
46,"api-key-delete","Delete API keys","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","API Key","api-key","delete"
47,"dashboard-read","View access for Dashboard","2025-10-17 06:42:33.5937","2025-10-17 06:42:33.5937","Dashboard View","Dashboard","view"
48,"mis-report-read","View access for MIS Report","2025-10-17 06:42:33.5937","2025-10-17 06:42:33.5937","MIS Report View","MIS Report","view"
49,"subsidiary-master-read","View access for Subsidiary Master","2025-10-17 06:42:33.5937","2025-10-17 06:42:33.5937","Subsidiary Master View","Subsidiary Master","view"
50,"chatbot-menu-read","View access for Chatbot Menu","2025-10-17 06:42:33.5937","2025-10-17 06:42:33.5937","Chatbot Menu View","Chatbot Menu","view"
51,"analytics-read","View access for Analytics","2025-10-17 06:42:33.5937","2025-10-17 06:42:33.5937","Analytics View","Analytics","view"
52,"advertisement-create","Create Language Advertisement","2025-10-17 06:42:47.7398","2025-10-17 06:42:47.7398","Create Language Advertisement","Language","create"
53,"advertisement-read","Read Language Advertisement","2025-10-17 06:42:47.7398","2025-10-17 06:42:47.7398","Read Language Advertisement","Language","read"
54,"advertisement-update","Update Language Advertisement","2025-10-17 06:42:47.7398","2025-10-17 06:42:47.7398","Update Language Advertisement","Language","update"
55,"advertisement-delete","Delete Language Advertisement","2025-10-17 06:42:47.7398","2025-10-17 06:42:47.7398","Delete Language Advertisement","Language","delete"
56,"intent-read","View Intent","2025-10-17 06:42:58.709851","2025-10-17 06:42:58.709851","Intent View","Intent","view"
57,"intent-update","Update Intent","2025-10-17 06:42:58.709851","2025-10-17 06:42:58.709851","Intent Update","Intent","update"
58,"intent-delete","Delete Intent","2025-10-17 06:42:58.709851","2025-10-17 06:42:58.709851","Intent Delete","Intent","delete"
59,"language-create","Create Language","2025-10-17 06:54:11.918241","2025-10-17 06:54:11.918241","Create Language","language-create","create"
60,"language-read","Read Language","2025-10-17 06:54:11.918241","2025-10-17 06:54:11.918241","Read Language","language-read","read"
61,"language-update","Update Language","2025-10-17 06:54:11.918241","2025-10-17 06:54:11.918241","Update Language","language-update","update"
62,"language-delete","Delete Language","2025-10-17 06:54:11.918241","2025-10-17 06:54:11.918241","Delete Language","language-delete","delete"
63,"utter-read","read the utters","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Utter","utter","read"
64,"utter-update","update the utters ","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Utter","utter","update"
65,"fallback-read","view fallback messages","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Fallbacks","fallback","read"
66,"fallback-update","update fallback message","2025-10-14 20:40:25.100227","2025-10-14 20:40:25.100227","Fallbacks","fallback","update"
