"id","user_id","step_order","step_type","step_name","slot_value"
1,1,1,"intent","subsidiary_yamuna",NULL
2,1,2,"action","action_set_subsidiary",NULL
3,1,3,"slot","subsidiary","BSES Yamuna"
4,1,4,"action","action_subsidiary",NULL
5,1,5,"intent","registered_consumer_english_yamuna",NULL
6,1,6,"action","action_set_user",NULL
7,1,7,"slot","customer_type","registered"
8,1,8,"action","utter_ask_ca_number",NULL
9,1,9,"intent","provide_ca_number_yamuna",NULL
10,1,10,"action","action_validate_ca_number",NULL
11,1,11,"action","action_send_otp",NULL
12,1,12,"action","utter_ask_otp",NULL
13,1,13,"intent","provide_otp_yamuna",NULL
14,1,14,"action","action_validate_otp",NULL
15,1,15,"action","action_language",NULL
16,1,16,"intent","language_english_yamuna",NULL
17,1,17,"action","action_set_language",NULL
18,1,18,"slot","language","en"
19,1,19,"action","action_register_consumer_options_english",NULL
20,2,1,"intent","subsidiary_rajdhani",NULL
21,2,2,"action","action_set_subsidiary",NULL
22,2,3,"slot","subsidiary","BSES Rajdhani"
23,2,4,"action","action_subsidiary",NULL
24,2,5,"intent","registered_consumer_english_rajdhani",NULL
25,2,6,"action","action_set_user",NULL
26,2,7,"slot","customer_type","registered"
27,2,8,"action","utter_ask_ca_number",NULL
28,2,9,"intent","provide_ca_number_rajdhani",NULL
29,2,10,"action","action_validate_ca_number",NULL
30,2,11,"action","action_send_otp",NULL
31,2,12,"action","utter_ask_otp",NULL
32,2,13,"intent","provide_otp_rajdhani",NULL
33,2,14,"action","action_validate_otp",NULL
34,2,15,"action","action_language",NULL
35,2,16,"intent","language_english_rajdhani",NULL
36,2,17,"action","action_set_language",NULL
37,2,18,"slot","language","en"
38,2,19,"action","action_register_consumer_options_english",NULL
39,3,1,"intent","subsidiary_yamuna",NULL
40,3,2,"action","action_set_subsidiary",NULL
41,3,3,"slot","subsidiary","BSES Yamuna"
42,3,4,"action","action_subsidiary",NULL
43,3,5,"intent","registered_consumer_english_yamuna",NULL
44,3,6,"action","action_set_user",NULL
45,3,7,"slot","customer_type","registered"
46,3,8,"action","utter_ask_ca_number",NULL
47,3,9,"intent","provide_ca_number_yamuna",NULL
48,3,10,"action","action_validate_ca_number",NULL
49,3,11,"action","action_send_otp",NULL
50,3,12,"action","utter_ask_otp",NULL
51,3,13,"intent","provide_otp_yamuna",NULL
52,3,14,"action","action_validate_otp",NULL
53,3,15,"action","action_language",NULL
54,3,16,"intent","language_hindi_yamuna",NULL
55,3,17,"action","action_set_language",NULL
56,3,18,"slot","language","hi"
57,3,19,"action","action_register_consumer_options_hindi",NULL
58,4,1,"intent","subsidiary_rajdhani",NULL
59,4,2,"action","action_set_subsidiary",NULL
60,4,3,"slot","subsidiary","BSES Rajdhani"
61,4,4,"action","action_subsidiary",NULL
62,4,5,"intent","registered_consumer_english_rajdhani",NULL
63,4,6,"action","action_set_user",NULL
64,4,7,"slot","customer_type","registered"
65,4,8,"action","utter_ask_ca_number",NULL
66,4,9,"intent","provide_ca_number_rajdhani",NULL
67,4,10,"action","action_validate_ca_number",NULL
68,4,11,"action","action_send_otp",NULL
69,4,12,"action","utter_ask_otp",NULL
70,4,13,"intent","provide_otp_rajdhani",NULL
71,4,14,"action","action_validate_otp",NULL
72,4,15,"action","action_language",NULL
73,4,16,"intent","language_hindi_rajdhani",NULL
74,4,17,"action","action_set_language",NULL
75,4,18,"slot","language","hi"
76,4,19,"action","action_register_consumer_options_hindi",NULL
77,5,1,"intent","subsidiary_yamuna",NULL
78,5,2,"action","action_set_subsidiary",NULL
79,5,3,"slot","subsidiary","BSES Yamuna"
80,5,4,"action","action_subsidiary",NULL
81,5,5,"intent","new_consumer_english_yamuna",NULL
82,5,6,"action","action_set_user",NULL
83,5,7,"slot","customer_type","new"
84,5,8,"action","action_language",NULL
85,5,9,"intent","language_english_yamuna",NULL
86,5,10,"action","action_set_language",NULL
87,5,11,"slot","language","en"
88,5,12,"action","action_new_consumer_options_english",NULL
89,6,1,"intent","subsidiary_rajdhani",NULL
90,6,2,"action","action_set_subsidiary",NULL
91,6,3,"slot","subsidiary","BSES Rajdhani"
92,6,4,"action","action_subsidiary",NULL
93,6,5,"intent","new_consumer_english_rajdhani",NULL
94,6,6,"action","action_set_user",NULL
95,6,7,"slot","customer_type","new"
96,6,8,"action","action_language",NULL
97,6,9,"intent","language_english_rajdhani",NULL
98,6,10,"action","action_set_language",NULL
99,6,11,"slot","language","en"
100,6,12,"action","action_new_consumer_options_english",NULL
101,7,1,"intent","subsidiary_yamuna",NULL
102,7,2,"action","action_set_subsidiary",NULL
103,7,3,"slot","subsidiary","BSES Yamuna"
104,7,4,"action","action_subsidiary",NULL
105,7,5,"intent","new_consumer_english_yamuna",NULL
106,7,6,"action","action_set_user",NULL
107,7,7,"slot","customer_type","new"
108,7,8,"action","action_language",NULL
109,7,9,"intent","language_hindi_yamuna",NULL
110,7,10,"action","action_set_language",NULL
111,7,11,"slot","language","hi"
112,7,12,"action","action_new_consumer_options_hindi",NULL
113,8,1,"intent","subsidiary_rajdhani",NULL
114,8,2,"action","action_set_subsidiary",NULL
115,8,3,"slot","subsidiary","BSES Rajdhani"
116,8,4,"action","action_subsidiary",NULL
117,8,5,"intent","new_consumer_english_rajdhani",NULL
118,8,6,"action","action_set_user",NULL
119,8,7,"slot","customer_type","new"
120,8,8,"action","action_language",NULL
121,8,9,"intent","language_hindi_rajdhani",NULL
122,8,10,"action","action_set_language",NULL
123,8,11,"slot","language","hi"
124,8,12,"action","action_new_consumer_options_hindi",NULL
