"id","story_id","intent","action"
1,1,"new_connection_application_bypl_english",NULL
2,1,NULL,"action_new_connection_application_bypl_english"
3,2,"new_connection_application_brpl_english",NULL
4,2,NULL,"action_new_connection_application_brpl_english"
5,3,"new_connection_application_bypl_hindi",NULL
6,3,NULL,"action_new_connection_application_bypl_hindi"
7,4,"new_connection_application_brpl_hindi",NULL
8,4,NULL,"action_new_connection_application_brpl_hindi"
9,5,"new_connection_application_bypl_english",NULL
10,5,NULL,"action_new_connection_application_bypl_english"
11,6,"new_connection_application_brpl_english",NULL
12,6,NULL,"action_new_connection_application_brpl_english"
13,7,"new_connection_application_bypl_hindi",NULL
14,7,NULL,"action_new_connection_application_bypl_hindi"
15,8,"new_connection_application_brpl_hindi",NULL
16,8,NULL,"action_new_connection_application_brpl_hindi"
17,9,"virtual_customer_care_bypl_english",NULL
18,9,NULL,"action_virtual_customer_care_bypl_english"
19,10,"virtual_customer_care_brpl_english",NULL
20,10,NULL,"action_virtual_customer_care_brpl_english"
21,11,"virtual_customer_care_bypl_hindi",NULL
22,11,NULL,"action_virtual_customer_care_bypl_hindi"
23,12,"virtual_customer_care_brpl_hindi",NULL
24,12,NULL,"action_virtual_customer_care_brpl_hindi"
25,13,"virtual_customer_care_bypl_english",NULL
26,13,NULL,"action_virtual_customer_care_bypl_english"
27,14,"virtual_customer_care_brpl_english",NULL
28,14,NULL,"action_virtual_customer_care_brpl_english"
29,15,"virtual_customer_care_bypl_hindi",NULL
30,15,NULL,"action_virtual_customer_care_bypl_hindi"
31,16,"virtual_customer_care_brpl_hindi",NULL
32,16,NULL,"action_virtual_customer_care_brpl_hindi"
33,17,"prepaid_meter_recharge_english_rajdhani",NULL
34,17,NULL,"action_prepaid_meter_recharge_english"
35,18,"prepaid_meter_recharge_english_yamuna",NULL
36,18,NULL,"action_prepaid_meter_recharge_english"
37,19,"prepaid_meter_recharge_hindi_rajdhani",NULL
38,19,NULL,"action_prepaid_meter_recharge_hindi"
39,20,"prepaid_meter_recharge_hindi_yamuna",NULL
40,20,NULL,"action_prepaid_meter_recharge_hindi"
41,21,"new_connection_status_english_rajdhani",NULL
42,21,NULL,"action_new_connection_status_english"
43,21,"provide_order_id_rajdhani",NULL
44,21,NULL,"action_get_connection_status"
45,22,"new_connection_status_english_yamuna",NULL
46,22,NULL,"action_new_connection_status_english"
47,22,"provide_order_id_yamuna",NULL
48,22,NULL,"action_get_connection_status"
49,23,"new_connection_status_hindi_rajdhani",NULL
50,23,NULL,"action_new_connection_status_hindi"
51,23,"provide_order_id_rajdhani",NULL
52,23,NULL,"action_get_connection_status_hindi"
53,24,"new_connection_status_hindi_yamuna",NULL
54,24,NULL,"action_new_connection_status_hindi"
55,24,"provide_order_id_yamuna",NULL
56,24,NULL,"action_get_connection_status_hindi"
57,25,"new_connection_status_english_rajdhani",NULL
58,25,NULL,"action_new_connection_status_english"
59,25,"provide_order_id_rajdhani",NULL
60,25,NULL,"action_get_connection_status"
61,26,"new_connection_status_english_yamuna",NULL
62,26,NULL,"action_new_connection_status_english"
63,26,"provide_order_id_yamuna",NULL
64,26,NULL,"action_get_connection_status"
65,27,"new_connection_status_hindi_rajdhani",NULL
66,27,NULL,"action_new_connection_status_hindi"
67,27,"provide_order_id_rajdhani",NULL
68,27,NULL,"action_get_connection_status_hindi"
69,28,"new_connection_status_hindi_yamuna",NULL
70,28,NULL,"action_new_connection_status_hindi"
71,28,"provide_order_id_yamuna",NULL
72,28,NULL,"action_get_connection_status_hindi"
73,29,"faqs_brpl_english",NULL
74,29,NULL,"action_new_consumer_faqs_brpl_english"
75,30,"faqs_brpl_hindi",NULL
76,30,NULL,"action_new_consumer_faqs_brpl_hindi"
77,31,"faqs_bypl_english",NULL
78,31,NULL,"action_new_consumer_faqs_bypl_english"
79,32,"faqs_bypl_hindi",NULL
80,32,NULL,"action_new_consumer_faqs_bypl_hindi"
81,33,"faqs_brpl_english",NULL
82,33,NULL,"action_new_consumer_faqs_brpl_english"
83,34,"faqs_brpl_hindi",NULL
84,34,NULL,"action_new_consumer_faqs_brpl_hindi"
85,35,"faqs_bypl_english",NULL
86,35,NULL,"action_new_consumer_faqs_bypl_english"
87,36,"faqs_bypl_hindi",NULL
88,36,NULL,"action_new_consumer_faqs_bypl_hindi"
89,37,"change_lang_english_rajdhani",NULL
90,37,NULL,"action_change_language"
91,38,"change_lang_hindi_rajdhani",NULL
92,38,NULL,"action_change_language"
93,39,"change_lang_english_yamuna",NULL
94,39,NULL,"action_change_language"
95,40,"change_lang_hindi_yamuna",NULL
96,40,NULL,"action_change_language"
97,41,"change_lang_english_rajdhani",NULL
98,41,NULL,"action_change_language"
99,42,"change_lang_hindi_rajdhani",NULL
100,42,NULL,"action_change_language"
101,43,"change_lang_english_yamuna",NULL
102,43,NULL,"action_change_language"
103,44,"change_lang_hindi_yamuna",NULL
104,44,NULL,"action_change_language"
105,45,"visually_impaired_english_rajdhani",NULL
106,45,NULL,"action_visually_impaired_english"
107,45,"provide_mobile_number_rajdhani",NULL
108,45,NULL,"action_validate_mobile_number_english"
109,45,NULL,"utter_ask_otp"
110,45,"provide_otp_rajdhani",NULL
111,45,NULL,"action_validate_otp"
112,45,NULL,"action_visually_impaired_final_english"
113,46,"visually_impaired_hindi_rajdhani",NULL
114,46,NULL,"action_visually_impaired_hindi"
115,46,"provide_mobile_number_rajdhani",NULL
116,46,NULL,"action_validate_mobile_number_hindi"
117,46,NULL,"utter_ask_otp_hindi"
118,46,"provide_otp_rajdhani",NULL
119,46,NULL,"action_validate_otp_hindi"
120,46,NULL,"action_visually_impaired_final_hindi"
121,47,"visually_impaired_english_yamuna",NULL
122,47,NULL,"action_visually_impaired_english"
123,47,"provide_mobile_number_yamuna",NULL
124,47,NULL,"action_validate_mobile_number_english"
125,47,NULL,"utter_ask_otp"
126,47,"provide_otp_yamuna",NULL
127,47,NULL,"action_validate_otp"
128,47,NULL,"action_visually_impaired_final_english"
129,48,"visually_impaired_hindi_yamuna",NULL
130,48,NULL,"action_visually_impaired_hindi"
131,48,"provide_mobile_number_yamuna",NULL
132,48,NULL,"action_validate_mobile_number_hindi"
133,48,NULL,"utter_ask_otp_hindi"
134,48,"provide_otp_yamuna",NULL
135,48,NULL,"action_validate_otp_hindi"
136,48,NULL,"action_visually_impaired_final_hindi"
137,49,"visually_impaired_english_rajdhani",NULL
138,49,NULL,"action_visually_impaired_english"
139,49,"provide_mobile_number_rajdhani",NULL
140,49,NULL,"action_validate_mobile_number_english"
141,49,NULL,"utter_ask_otp"
142,49,"provide_otp_rajdhani",NULL
143,49,NULL,"action_validate_otp"
144,49,NULL,"action_visually_impaired_final_english"
145,50,"visually_impaired_hindi_rajdhani",NULL
146,50,NULL,"action_visually_impaired_hindi"
147,50,"provide_mobile_number_rajdhani",NULL
148,50,NULL,"action_validate_mobile_number_hindi"
149,50,NULL,"utter_ask_otp_hindi"
150,50,"provide_otp_rajdhani",NULL
151,50,NULL,"action_validate_otp_hindi"
152,50,NULL,"action_visually_impaired_final_hindi"
153,51,"visually_impaired_english_yamuna",NULL
154,51,NULL,"action_visually_impaired_english"
155,51,"provide_mobile_number_yamuna",NULL
156,51,NULL,"action_validate_mobile_number_english"
157,51,NULL,"utter_ask_otp"
158,51,"provide_otp_yamuna",NULL
159,51,NULL,"action_validate_otp"
160,51,NULL,"action_visually_impaired_final_english"
161,52,"visually_impaired_hindi_yamuna",NULL
162,52,NULL,"action_visually_impaired_hindi"
163,52,"provide_mobile_number_yamuna",NULL
164,52,NULL,"action_validate_mobile_number_hindi"
165,52,NULL,"utter_ask_otp_hindi"
166,52,"provide_otp_yamuna",NULL
167,52,NULL,"action_validate_otp_hindi"
168,52,NULL,"action_visually_impaired_final_hindi"
169,53,"meter_reading_schedule_english_rajdhani",NULL
170,53,NULL,"action_meter_reading_schedule_english"
171,54,"meter_reading_schedule_hindi_rajdhani",NULL
172,54,NULL,"action_meter_reading_schedule_hindi"
173,55,"meter_reading_schedule_english_yamuna",NULL
174,55,NULL,"action_meter_reading_schedule_english"
175,56,"meter_reading_schedule_hindi_yamuna",NULL
176,56,NULL,"action_meter_reading_schedule_hindi"
177,57,"check_for_another_ca_number_english_rajdhani",NULL
178,57,NULL,"action_check_for_ca_number_english"
179,57,"provide_ca_number_rajdhani",NULL
180,57,NULL,"action_validate_ca_number"
181,57,NULL,"action_send_otp"
182,57,NULL,"utter_ask_otp"
183,57,"provide_otp_rajdhani",NULL
184,57,NULL,"action_validate_ca_number_otp"
185,58,"check_for_another_ca_number_english_rajdhani",NULL
186,58,NULL,"action_check_for_ca_number_english"
187,58,"provide_ca_number_rajdhani",NULL
188,58,NULL,"action_validate_ca_number"
189,58,NULL,"action_send_otp"
190,58,NULL,"utter_ask_otp"
191,58,"provide_otp_rajdhani",NULL
192,58,NULL,"action_validate_ca_number_otp"
193,59,"check_for_another_ca_number_english_yamuna",NULL
