"id","uid","action_name","class_name","language","sequence","text","message_type","is_active","created_at","updated_at"
1,"eaa6cea9-1736-457e-9f65-3a5c9fca89bd","action_register_consumer_options_english","New/Registered (both)","en",1,"Language has been changed successfully","intro",True,"2025-10-17 18:34:40.098791+05:30","2025-11-13 20:34:18.419481+05:30"
2,"6146e6ca-38e3-4361-a613-fc9d00139c54","action_register_consumer_options_english","New/Registered (both)","en",2,"Hi! I'm e-MITRA, your BSES Rajdhani assistant.","intro",True,"2025-10-17 18:43:33.394041+05:30","2025-11-13 20:35:06.958894+05:30"
3,"847e3367-06b3-477c-af6b-7756a440d35f","action_register_consumer_options_english","New/Registered (both)","en",3,"Please select an option to continue. (You can click the Home icon or type 'Menu' or 'Hi' anytime to return to the main menu","intro",True,"2025-10-17 18:43:43.88499+05:30","2025-10-24 14:20:29.578153+05:30"
7,"0e50a2bd-ba5c-400f-ae1e-a56a75e906d9","action_register_consumer_options_hindi","New/Registered (both)","hi",1,"भाषा सफलतापूर्वक बदल दी गई है","intro",True,"2025-10-17 19:41:15.668549+05:30",NULL
8,"44426c7c-e3e5-4180-9077-9b512e608c84","action_register_consumer_options_hindi","New/Registered (both)","hi",2,"नमस्ते! मैं आपका बीएसईएस राजधानी सहायक ई-मित्र हूं।","intro",True,"2025-10-17 19:41:32.202767+05:30",NULL
9,"dc0ef69e-10d5-4c25-a13b-7ab9b7290782","action_register_consumer_options_hindi","New/Registered (both)","hi",3,"कृपया जारी रखने के लिए एक विकल्प चुनें। (मुख्य मेनू पर लौटने के लिए आप किसी भी समय होम आइकन पर क्लिक कर सकते हैं या 'मेनू' या 'हाय' टाइप कर सकते हैं)","intro",True,"2025-10-17 19:42:01.08562+05:30",NULL
10,"2d28d44d-2be4-4cf1-a5d2-49c504521703","general_thankyou","New/Registered (both)","en",1,"Thank you! Would you like to go back to main menu. (You can type 'menu' or 'hi' to come back to main options)","general_thankyou",True,"2025-10-17 19:47:10.161471+05:30",NULL
11,"e938702b-05ef-42f3-a5e8-966ab5866797","general_thankyou","New/Registered (both)","hi",1,"धन्यवाद! क्या आप मुख्य मेनू पर वापस जाना चाहेंगे? (आप 'menu' या 'hi' लिखकर मुख्य विकल्पों पर वापस आ सकते हैं)","general_thankyou",True,"2025-10-17 19:47:59.813722+05:30",NULL
12,"cb5f8d45-2967-4a34-b3d4-53d3ff49e194","action_new_connection_application_brpl_english","New/Registered (both)","en",1,"Please click below to apply online or request for an appointment: https://ncbrpl.bsesdelhi.com/BRPL/Login","new_connection_application",True,"2025-10-21 13:01:47.769425+05:30",NULL
14,"70273d50-2a13-417e-abc2-e2e72f20cbd3","action_new_connection_application_brpl_hindi","New/Registered (both)","hi",1,"नए कनेक्शन के ऑनलाइन आवेदन या अपॉइंटमेंट करने के लिए कृपया नीचे क्लिक करें: https://ncbrpl.bsesdelhi.com/BRPL/Login","new_connection_application",True,"2025-10-21 13:06:03.925416+05:30",NULL
15,"03826fdf-5755-4bf9-a495-26d8d452feee","action_prepaid_meter_recharge_english","Registered","en",1,"Please click the link below check the balance or to recharge  your prepaid meter: https://www.bsesdelhi.com/web/brpl/prepaid-meter-recharge","prepaid_meter_recharge",True,"2025-10-21 13:13:25.104428+05:30",NULL
